150,2,244.25,393.04,60.59,12.99,0.84,-1,-1,-1
150,117,369.60,28.08,36.85,9.00,0.78,-1,-1,-1
151,2,244.23,393.03,60.63,12.99,0.84,-1,-1,-1
151,117,369.93,28.05,36.87,9.00,0.77,-1,-1,-1
152,2,243.54,392.37,63.32,13.65,0.84,-1,-1,-1
152,117,370.43,28.04,36.78,9.00,0.77,-1,-1,-1
153,2,243.03,392.12,64.18,13.90,0.84,-1,-1,-1
153,117,370.25,28.03,36.80,9.00,0.78,-1,-1,-1
154,2,243.28,392.03,64.27,13.99,0.84,-1,-1,-1
154,117,370.56,28.02,36.73,9.00,0.74,-1,-1,-1
155,2,243.46,391.99,64.10,14.03,0.84,-1,-1,-1
155,117,370.31,28.02,36.75,9.00,0.75,-1,-1,-1
156,2,244.90,391.98,61.31,13.38,0.84,-1,-1,-1
156,117,370.20,28.02,36.78,9.00,0.72,-1,-1,-1
157,2,245.42,391.98,60.29,13.13,0.84,-1,-1,-1
157,117,370.44,27.36,36.89,9.00,0.72,-1,-1,-1
158,2,245.57,391.98,59.98,13.03,0.84,-1,-1,-1
158,117,370.49,27.10,37.00,9.00,0.72,-1,-1,-1
159,2,245.87,391.98,60.04,13.00,0.83,-1,-1,-1
159,117,370.48,27.01,37.09,9.00,0.73,-1,-1,-1
160,2,244.98,391.32,62.71,13.65,0.84,-1,-1,-1
160,117,370.83,26.98,37.08,9.00,0.75,-1,-1,-1
161,2,244.74,391.07,63.51,13.89,0.84,-1,-1,-1
161,117,370.96,26.97,37.07,9.00,0.75,-1,-1,-1
162,2,244.73,390.98,63.65,13.99,0.84,-1,-1,-1
162,117,371.00,26.97,37.07,9.00,0.75,-1,-1,-1
163,2,244.80,390.95,63.54,14.02,0.84,-1,-1,-1
163,117,371.02,26.97,37.06,9.00,0.75,-1,-1,-1
164,2,244.90,390.95,63.35,14.03,0.84,-1,-1,-1
164,117,369.85,26.31,39.40,9.66,0.73,-1,-1,-1
165,2,245.00,390.95,63.14,14.03,0.84,-1,-1,-1
165,117,370.17,26.07,40.04,9.90,0.72,-1,-1,-1
166,2,245.09,390.95,62.94,14.03,0.84,-1,-1,-1
166,117,369.75,25.98,40.09,10.00,0.72,-1,-1,-1
167,2,245.18,390.96,62.76,14.03,0.84,-1,-1,-1
167,117,370.78,25.95,37.70,9.38,0.71,-1,-1,-1
168,2,246.79,390.96,60.17,13.36,0.85,-1,-1,-1
168,117,371.84,25.95,36.78,9.13,0.70,-1,-1,-1
169,2,247.32,390.97,59.35,13.11,0.85,-1,-1,-1
169,117,371.83,25.95,36.58,9.04,0.69,-1,-1,-1
170,2,247.42,390.97,59.23,13.02,0.85,-1,-1,-1
170,117,372.15,25.95,36.51,9.01,0.71,-1,-1,-1
171,2,246.06,390.31,61.97,13.65,0.85,-1,-1,-1
171,117,372.25,25.96,36.51,9.00,0.70,-1,-1,-1
172,2,247.24,390.72,60.26,13.23,0.84,-1,-1,-1
172,117,372.27,25.96,36.54,8.99,0.71,-1,-1,-1
173,2,246.35,390.22,62.29,13.74,0.84,-1,-1,-1
173,117,372.26,25.97,36.58,8.99,0.71,-1,-1,-1
174,2,246.10,390.04,62.89,13.92,0.84,-1,-1,-1
174,117,372.24,25.97,36.61,8.99,0.70,-1,-1,-1
175,2,247.32,389.97,60.46,13.33,0.85,-1,-1,-1
175,117,372.60,25.97,36.56,8.99,0.70,-1,-1,-1
176,2,247.74,389.95,59.62,13.10,0.85,-1,-1,-1
176,117,373.03,25.98,36.60,8.99,0.70,-1,-1,-1
177,2,248.51,389.95,59.41,13.02,0.85,-1,-1,-1
177,117,373.17,25.98,36.64,8.99,0.69,-1,-1,-1
178,2,248.36,389.95,59.53,12.99,0.85,-1,-1,-1
178,117,373.21,25.98,36.67,9.00,0.69,-1,-1,-1
179,2,248.22,389.96,59.72,12.98,0.85,-1,-1,-1
179,117,373.21,25.98,36.70,9.00,0.69,-1,-1,-1
180,2,248.10,389.96,59.92,12.98,0.85,-1,-1,-1
180,117,373.20,25.99,36.73,9.00,0.71,-1,-1,-1
181,2,247.99,389.97,60.12,12.98,0.85,-1,-1,-1
181,117,373.18,25.99,36.76,9.00,0.71,-1,-1,-1
182,2,248.28,389.97,60.20,12.98,0.85,-1,-1,-1
182,117,373.16,25.99,36.78,9.00,0.71,-1,-1,-1
183,2,248.36,389.97,60.28,12.98,0.85,-1,-1,-1
183,117,373.15,25.99,36.80,9.00,0.71,-1,-1,-1
184,2,248.36,389.98,60.35,12.99,0.85,-1,-1,-1
184,117,373.13,25.99,36.82,9.00,0.71,-1,-1,-1
185,2,247.02,389.32,63.05,13.65,0.85,-1,-1,-1
185,117,373.12,25.99,36.84,9.00,0.70,-1,-1,-1
186,2,246.63,389.07,63.84,13.90,0.85,-1,-1,-1
186,117,373.11,25.99,36.85,9.00,0.70,-1,-1,-1
187,2,246.57,388.98,63.96,13.99,0.84,-1,-1,-1
187,117,373.10,25.99,36.87,9.00,0.71,-1,-1,-1
188,2,247.90,388.95,61.27,13.37,0.84,-1,-1,-1
188,117,373.37,25.99,36.97,9.00,0.69,-1,-1,-1
189,2,248.68,388.95,60.38,13.12,0.84,-1,-1,-1
189,117,372.27,25.33,39.41,9.66,0.70,-1,-1,-1
190,2,248.90,388.95,60.18,13.03,0.84,-1,-1,-1
190,117,371.95,25.09,40.14,9.90,0.68,-1,-1,-1
191,2,248.92,388.95,60.22,13.00,0.84,-1,-1,-1
191,117,371.90,25.00,40.28,10.00,0.68,-1,-1,-1
192,2,248.87,388.96,60.34,12.99,0.84,-1,-1,-1
192,117,371.94,24.97,40.19,10.03,0.65,-1,-1,-1
193,2,248.80,388.96,60.48,12.99,0.84,-1,-1,-1
193,117,372.02,24.96,40.03,10.04,0.64,-1,-1,-1
194,2,248.73,388.97,60.62,12.99,0.84,-1,-1,-1
194,117,372.11,24.96,39.85,10.04,0.67,-1,-1,-1
195,2,249.04,388.97,60.65,12.99,0.84,-1,-1,-1
195,117,372.19,24.96,39.68,10.04,0.63,-1,-1,-1
196,2,247.81,388.31,63.34,13.65,0.84,-1,-1,-1
196,117,372.27,24.96,39.52,10.03,0.60,-1,-1,-1
197,2,247.47,388.07,64.11,13.90,0.84,-1,-1,-1
197,117,372.34,24.97,39.37,10.03,0.63,-1,-1,-1
198,2,247.44,387.98,64.20,13.99,0.84,-1,-1,-1
